#{"t_start": 1660922591.3389623, "env_id": null}
r,l,t
-18,11,0.017895
-22,10,0.026692
-20,10,0.035912
-36,14,0.047701
-18,9,0.05553
-17,9,0.063304
-10,8,0.138542
-20,11,0.147889
-27,13,0.15914
-24,9,0.16704
-18,10,0.175816
-30,13,0.186919
-14,8,0.261976
-31,12,0.272384
-18,10,0.281222
-6,6,0.28657
-22,10,0.295245
-14,6,0.30053
-10,6,0.306122
-23,9,0.382209
-34,12,0.392891
-20,9,0.400873
-20,10,0.409724
-12,6,0.415062
-11,7,0.421166
-21,9,0.429137
-9,6,0.434484
-16,8,0.510109
-17,7,0.516356
-25,10,0.525136
-14,7,0.531341
-15,8,0.538401
-8,5,0.542913
-14,8,0.54992
-15,7,0.556127
-15,8,0.632674
-23,10,0.641513
-8,6,0.646712
-14,8,0.653605
-15,7,0.659786
-10,7,0.665904
-10,7,0.672027
-14,8,0.678926
-6,6,0.684248
-19,9,0.759854
