#{"t_start": 1660723307.188662, "env_id": null}
r,l,t
-5,7,0.006004
-21,25,0.020856
-6,9,0.02631
-17,16,0.035909
-5,9,0.115817
-10,11,0.123216
-11,13,0.131556
-11,12,0.139413
-13,15,0.149004
-5,9,0.155017
-16,14,0.235095
-10,13,0.243744
-2,7,0.248498
-3,9,0.254648
-6,9,0.260543
-13,16,0.34443
-20,22,0.35827
-12,17,0.369149
-13,24,0.45671
-12,15,0.466406
-16,25,0.482212
-7,18,0.493904
-15,24,0.574029
-14,19,0.586144
-5,9,0.592098
-2,9,0.598033
0,7,0.602838
-25,30,0.694647
-20,28,0.712275
-43,70,0.833928
-29,55,0.927306
-4,15,0.999942
-37,106,1.132104
-3,21,1.208668
-43,98,1.333088
-34,116,1.518734
-17,68,1.617818
-70,127,1.814413
-47,98,1.93864
-7,23,2.011367
-31,57,2.113028
-9,36,2.135402
-12,22,2.215553
-14,25,2.231362
-13,29,2.2498
-5,15,2.326502
-7,19,2.338608
-29,55,2.44262
-16,42,2.535109
-26,71,2.643636
-339,605,3.554156
